,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_member,max_limit,spcl_cnd,options
0,WR0001A,우리은행,우리 SUPER정기예금,실명의 개인,,해당사항 없음,"[['6', '단리', 0.65, 0.65], ['12', '단리', 0.9, 0.9], ['24', '단리', 0.9, 0.9], ['36', '단리', 1, 1]]"
1,WR0001B,우리은행,"시니어플러스우리예금
(회전형)",만 50세이상실명의 개인,,"최고 연 0.4%p우대이율
1. 5천만원 이상: 연0.2%p
2. 이상품에 5천만원 비과세한도 사용한 후 추가로 가입한 경우:연0.2%p
3. 우리카드사용: 연0.1%p
4. 공과금/관리비 : 연 0.1%","[['12', '단리', 0.55, 0.95]]"
2,WR0001D,우리은행,WON 예금,실명의 개인,,"최고 연0.50%p 
만기해지시 신규일 당시 이 예금의 기본금리와 동일한 금리 추가 제공","[['6', '단리', 0.4, 0.8], ['12', '단리', 0.45, 0.9], ['24', '단리', 0.48, 0.96], ['36', '단리', 0.5, 1]]"
3,WR0001E,우리은행,두루두루정기예금,제한없음,,최고 연0.1%p 우대이율 -인터넷으로 가입시 0.1%p 우대금리 지급,"[['6', '단리', 0.4, 0.5]]"
4,00320342,한국스탠다드차타드은행,e-그린세이브예금,제한없음,499999999,없음,"[['6', '단리', 0.8, 0.8], ['12', '단리', 1.1, 1.1]]"
5,3127,한국씨티은행,프리스타일예금,제한없음,,"(1) 본 금리는 인터넷/모바일뱅킹을 통해 가입 시 제공되는 금리 임
(2) 인터넷/모바일뱅킹을 통해 계좌별 5천만원 이상 신규 시 : 3개월 0.90%, 6개월 1.00%, 12개월 1.15%","[['6', '단리', 0.9, 1], ['12', '단리', 1.1, 1.15], ['24', '단리', 0.8, 0.8], ['36', '단리', 0.8, 0.8]]"
6,10511008000996000,대구은행,DGB주거래우대예금(첫만남고객형),제한없음,,"* 최고우대금리 : 0.65%
              
 - 목돈굴리기예금 최초 가입시 : 0.2%
 - 최근 1개월 이내 신용(체크)카드 신규 발급 시 : 0.2%
 - 최근 1개월 이내 인터넷.폰.스마트뱅킹 가입시 : 0.2%
 - 인터넷/스마트뱅킹을 통해 가입시 우대 : 0.05%","[['6', '단리', 0.37, 1.02], ['12', '단리', 0.66, 1.31], ['24', '단리', 0.68, 1.33], ['36', '단리', 0.7, 1.35]]"
7,10511008001004000,대구은행,DGB행복파트너예금(일반형),만 50세이상 개인,,"* 최고우대금리 : 0.45%

- 연금실적우대 : 0.1%
- 신용(체크)카드 보유 : 0.1%
- 거래실적우대 : 0.1%
- DGB행복파트너적금 동시보유 : 0.1%
- 인터넷/스마트뱅킹을 통해 가입시 : 0.05%","[['6', '단리', 0.52, 0.97], ['12', '단리', 0.81, 1.26], ['24', '단리', 0.83, 1.28], ['36', '단리', 0.85, 1.3]]"
8,10511008001166004,대구은행,DGB함께예금,제한없음,,"* 최고우대금리 : 0.4%

- 총 수신 평잔실적 or 첫만남플러스 통장 보유시 : 0.1%
- 주택청약상품보유 : 0.1%
- 신규일 ""DGB함께적금"" 동시 가입 후 만기일까지 보유 : 0.1%
- 대구은행 오픈뱅킹서비스에 다른 은행 계좌 등록시 : 0.1%","[['12', '단리', 0.76, 1.21]]"
9,10511008001278000,대구은행,IM스마트예금,제한없음,,"*최고우대금리 : 0.2%

- 가입일(재예치일)로부터 3개월이내 아래 1가지 이상 요건 충족시
① 주택청약종합저축 보유시
② 대구은행 신용(체크)카드 결제실적","[['6', '단리', 0.65, 0.9], ['12', '단리', 0.9, 1.15], ['24', '단리', 0.95, 1.2], ['36', '단리', 1, 1.25]]"
10,1051102000046400,대구은행,친환경녹색예금,제한없음,,"* 최고우대금리 : 0.3%
- 승용차요일제 참여고객 : 0.1%
- 저공해 자동차 보유고객 : 0.05%
- 탄소포인트제 참여고객 : 0.05%
- 자전거타기 관련단테 가입고객  : 0.05%
- 인터넷/스마트뱅킹으로 통해 가입시 우대 : 0.05%","[['6', '단리', 0.62, 0.92], ['12', '단리', 0.91, 1.21], ['24', '단리', 0.93, 1.23], ['36', '단리', 0.95, 1.25]]"
11,01030500490002,부산은행,"SUM
정기예금","실명인 개인
(만19세이상)",100000000,"-10백만원 이상 신규시 : 0.20%
-썸씽보내기 3회 이상 : 0.10%
-썸출금 3회 이상 : 0.10%
-썸뱅크 롯데카드 결제금액 300만원 이상 : 0.10% 
-썸뱅크를 외화 환전 1회이상 : 0.10%   
-예금 만기자동갱신된 계좌: 0.10%","[['6', '단리', 0.75, 0.75], ['12', '단리', 0.8, 1.5]]"
12,01030500540002,부산은행,"SUM
정기예금S","실명인 개인
(만19세이상)",100000000,해당없음,"[['12', '단리', 1, 1]]"
13,01030500550002,부산은행,"Simple
정기예금","제한없음
(1인1계좌)",10000000000,"-당행 정기적금 자동이체 실적보유(10만원이상) 
-당행에서 공과금 또는 아파트 관리비 자동이체 실적 보유
-당행 BC카드대금(체크카드 포함) 결제실적 보유
-당행 썸뱅크 정회원(2019년 12월까지 이 예금 신규가입자에 한함)
-1개이상 연0.1%// 2개이상 0.15%// 3개이상 연 0.2%","[['12', '단리', 0.7, 1.1], ['24', '단리', 0.8, 1.1]]"
14,TD11300021000,광주은행,플러스다모아예금,"제한없음(단, 국가 및 지방자치단체 제외)",,▶1천만원 이상 가입시 최대 0.1%우대,"[['6', '단리', 0.37, 0.47], ['12', '단리', 0.62, 0.72], ['24', '단리', 0.82, 0.82], ['36', '단리', 1.01, 1.01]]"
15,TD11300027000,광주은행,미즈월복리정기예금,만18세이상 여성으로 실명의 개인 및 개인사업자,50000000,"▶ 최고우대금리 0.2% 
 ① 요구불평잔 : 0.2% -300만원이상 0.1%, 500만원이상 0.2%
 ② 신용(체크)카드결제실적 : 0.1% -전월결제금 300만원이상 0.05%, 500만원이상 0.1%","[['12', '복리', 0.82, 1.02], ['24', '복리', 1.02, 1.22], ['36', '복리', 1.21, 1.41]]"
16,TD11300031000,광주은행,스마트모아Dream정기예금,개인 및 개인사업자,,▶ 1천만원 이상 가입시 최대 0.2%우대,"[['6', '단리', 0.47, 0.57], ['12', '단리', 0.72, 0.92], ['24', '단리', 0.92, 1.12], ['36', '단리', 1.11, 1.31]]"
17,TD11300032000,광주은행,쏠쏠한마이쿨예금,개인 및 개인사업자 중 신규고객,50000000,해당사항없음,"[['12', '단리', 1.1, 1.1]]"
18,200000301,제주은행,"제주Dream
정기예금
(개인/만기
지급식)",제한없음,,"최고 연 0.1%p(항목별 0.1%p)
①급여이체
②적립식예금 잔액 10만원 이상 보유
③탑스, 주거래 고객
④결제계좌(가맹점) 전월 입금액 10만원 이상 
⑤비과세종합저축 대상 고객
⑥다자녀(3인이상 자녀)가정
⑦탐나는 J연금통장 가입고객
⑧국민연금안심통장 가입고객
⑨공무원연금안심통장 가입고객","[['6', '단리', 0.45, 0.55], ['12', '단리', 0.5, 0.6], ['24', '단리', 0.55, 0.65], ['36', '단리', 0.6, 0.7]]"
19,200000302,제주은행,"사이버우대
정기예금
(만기지급식
-일반)","실명의 
개인 및 
개인사업자",,"예금 신규 가입시점 기준 기간별 우대금리 적용
- 6개월~12개월미만: 연0.1%p
- 12개월이상~36개월미만 :연0.30%  
- 36개월이상 : 연0.20%
- 아래의 우대요건 충족시 최고 0.1%p 추가 우대 
①탐나는 J직장인통장 또는 
②탐나는 J주거래통장 가입고객이 기본우대 요건 충족 후 이 상품 가입시 0.1%p","[['6', '단리', 0.45, 0.55], ['12', '단리', 0.5, 0.8], ['24', '단리', 0.55, 0.85], ['36', '단리', 0.6, 0.8]]"
20,10-01-20-024-0030-0000,전북은행,"JB시니어우대예금
(만기일시지급식)","만60세이상 실명의 개인으로
전라북도 소재 영업점 : 주민등록상 주소지가 전라북도인 경우 
전라북도 소재 이외 영업점 : 주민등록상 주소지, 원적지, 본적지가 전라북도인 경우",,연0.35%이하 추가 우대,"[['12', '단리', 0.7, 1.05]]"
21,10-01-20-024-0038-0000,전북은행,"시장금리부정기예금
(만기일시지급식)","제한없음
(국가 및 지방자치단체 제외)",,없음,"[['6', '단리', 0.55, 0.55], ['12', '단리', 0.7, 0.7], ['24', '단리', 0.75, 0.75], ['36', '단리', 0.8, 0.8]]"
22,10-01-20-024-0042-0021,전북은행,"스마트정기예금
(만기일시지급식)",스마트폰뱅킹 또는 인터넷뱅킹에 가입한 개인,50000000,"1.가입시JB급여플러스통장보유 연0.1%, 2.최근1개월이내신용카드사용고객 연0.1%,3.예금가입기간별우대금리:2년이상연0,1%,3년이상연0.2%","[['6', '단리', 0.55, 0.9], ['12', '단리', 0.7, 1.05], ['24', '단리', 0.75, 1.2], ['36', '단리', 0.8, 1.35]]"
23,10-01-20-024-0046-0000,전북은행,"JB 다이렉트예금통장
(만기일시지급식)",실명의 개인(임의단체 제외),1000000000,없음,"[['6', '단리', 0.9, 0.9], ['12', '단리', 1.1, 1.1]]"
24,10-01-20-024-0054-0000,전북은행,JB주거래예금,실명의 개인 및 개인사업자,500000000,"추가우대:최고연0.6%우대 ①첫거래또는장기거래고객연0.1%우대,②JB주거래통장보유연0.1%우대,③카드매입(승인)실적연0.1%우대,④공과금출금연0.1%우대,⑤급여/연금/제로페이/가맹점대금입금실적연0.2%우대","[['12', '단리', 0.55, 1.15], ['24', '단리', 0.6, 1.2], ['36', '단리', 0.65, 1.25]]"
25,21000101,경남은행,"e-Money
정기예금",개인 및 개인사업자,,▶e-Money저축예금에서 출금하여 신규시 우대금리 0.05% 제공,"[['6', '단리', 0.65, 0.7], ['12', '단리', 0.9, 0.95]]"
26,21001115,경남은행,BNK더조은정기예금,"거래대상자는 제한을 두지 아니한다. 다만, 국가 및 지방자치단체는 이 예금을 거래할 수 없다.",300000000,"①가입금액 30백만원 이상인 경우 0.10%
②이 예금 신규시 금리우대쿠폰 등록할 경우 0.10%","[['6', '단리', 0.75, 0.95], ['12', '단리', 1, 1.2], ['24', '단리', 1.05, 1.25]]"
27,01511810025,중소기업은행,IBK D-DAY통장,실명의  개인,200000000,없음,"[['6', '단리', 0.96, 0.96], ['12', '단리', 1.12, 1.12]]"
28,01511830090,중소기업은행,IBK 늘푸른하늘통장,실명의  개인,,다음 중 1가지 이상 충족시 0.25%p 우대                        대중교통이용 / 친환경차량 이용 / 노후경유차 폐차 및 저감장치 부착,"[['12', '단리', 0.82, 1.07]]"
29,01511830092,중소기업은행,IBK 첫만남통장,실명의  개인,10000000,없음,"[['12', '단리', 1.07, 1.07]]"
30,05100,한국산업은행,정기예금,제한없음,,해당없음,"[['6', '단리', 0.6, 0.6], ['12', '단리', 0.7, 0.7], ['24', '단리', 0.79, 0.79], ['36', '단리', 0.84, 0.84]]"
31,05702,한국산업은행,KDBdream 정기예금,개인(개인사업자 및 임의단체 포함),,"KDBdream Account 가입고객이 이 예금을 가입하는 경우, 0.10%P 가산","[['6', '단리', 0.75, 0.85], ['12', '단리', 0.85, 0.95], ['24', '단리', 0.9, 1]]"
32,05705,한국산업은행,KDB Hi 정기예금,"KDB Hi 입출금통장에 가입한 개인(개인사업자 및 임의단체 제외)
단, 국민인 거주자에 한함",,해당없음,"[['12', '단리', 1.05, 1.05]]"
